episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,var_pv,var_rc,var_gr,var_lat
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-05,drift,./data/,./fig/,results_noise_all,0.012000940311261084,0.004564785884690897,1.081393346619295,0.3260296046350698
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],1e-05,drift,./data/,./fig/,results_noise_all,0.004286454016352931,0.001806368008401692,0.7262416780487188,0.3400567704767818
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],5e-05,drift,./data/,./fig/,results_noise_all,0.010883317927799752,0.004899787005104018,0.5381235807526563,0.40257633130531023
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0005,drift,./data/,./fig/,results_noise_all,0.1376726557576616,0.10961053240805284,0.8910508295527476,0.1543771730036512
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0005,drift,./data/,./fig/,results_noise_all,0.09009354209275955,0.07139916051735341,0.846117499188303,0.15437717300365117
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0005,drift,./data/,./fig/,results_noise_all,0.13437055432214834,0.13392553843337646,0.8011382170755467,0.8784247084600735
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.001,drift,./data/,./fig/,results_noise_all,0.2614997038178934,0.1660413706549152,3.4947913528280194,8.816250321665201
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0001,drift,./data/,./fig/,results_noise_all,0.03911279510935284,0.018686672459402455,0.7344066465910595,0.3158897395588457
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.001,drift,./data/,./fig/,results_noise_all,0.05875656981844804,0.09521616736317234,8.556722966039967,21.939679523076716
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[2],0.0001,drift,./data/,./fig/,results_noise_all,0.0351761263319276,0.03367500836974408,0.6546342053864954,0.42490790296400865
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.001,drift,./data/,./fig/,results_noise_all,0.06001846302179825,0.1410365282982508,7.924792010529048,22.15112220403267
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[1],0.01,drift,./data/,./fig/,results_noise_all,0.15972189231667355,0.2811051903196856,6.648817550000759,20.18458771983167
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",0.0,drift,./data/,./fig/,results_noise_all,0.0034807016187460094,0.0008527599072166087,0.5968108823849626,0.3997552147656159
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",1e-06,drift,./data/,./fig/,results_noise_all,0.00425124124933824,0.0012173104073094647,0.5548441203142864,0.4134078096261163
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",5e-07,drift,./data/,./fig/,results_noise_all,0.003695702366320121,0.0008180932668924257,0.8358501707267177,0.38849195240035955
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",5e-07,drift,./data/,./fig/,results_noise_all,0.0034846059379905784,0.0009383993215905549,0.4741123902011129,0.39254256657995584
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",1e-06,drift,./data/,./fig/,results_noise_all,0.004794190310386915,0.0009924393514343308,0.7317362489749983,0.3972483225065925
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",5e-07,drift,./data/,./fig/,results_noise_all,0.0033467488447942893,0.0009877941440589156,0.8556315634793362,0.4162514818501179
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",1e-06,drift,./data/,./fig/,results_noise_all,0.004215153154640348,0.0013795530918189415,0.7825686227126776,0.38520266021930655
200000,100,[0.5],0.05,5,0,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",5e-06,drift,./data/,./fig/,results_noise_all,0.00946190887290914,0.0023743632373139025,0.6697403304327614,0.33841518258428815
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",0.0,drift,./data/,./fig/,results_noise_all,0.004056885498456011,0.0012935900130514168,0.6795826167839375,0.38741923362318376
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",0.0,drift,./data/,./fig/,results_noise_all,0.003930126352432531,0.000816256219803289,0.539257531671729,0.36854878612780656
200000,100,[0.5],0.05,5,2,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",5e-06,drift,./data/,./fig/,results_noise_all,0.00839146037408161,0.0028838281729963145,0.7068719489347561,0.3455474995540114
200000,100,[0.5],0.05,5,1,uni,both,64,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,"[0, 1]",1e-05,drift,./data/,./fig/,results_noise_all,0.03481016039898419,0.010635455553611119,0.8080647665824843,0.4033094597215368
