episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,latencys,cumr,dx,delta_dxr
50000,100,[0.5],0.05,6,0,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,69,29.061813896771916,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,6,1,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.627814347426301e-06,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,6,2,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,5.112416925971082e-75,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.1,3,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,8.680811711761084e-10,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[ 0.00076232,-0.00691154,-0.008275  ]"
50000,100,[0.5],0.05,5,1,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,3.8529176183275265e-10,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.05,7,1,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.155073564152561e-82,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.1,3,1,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,0.00020769050028424403,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[ 0.00076232,-0.00640789,-0.00818899]"
50000,100,[0.5],0.01,4,2,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,9.554854149688948,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25113054,0.25166589,0.25180449], [0.25543329,0.25536898,0.25490882,...,0.260132  ,0.2587709 ,0.25721613]]","[-0.01174867, 0.03029307,-0.00244   ]"
50000,100,[0.5],0.01,4,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,7.0323760188887176e-96,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.2508689 ,0.25141087,0.25155589], [0.25277193,0.25265145,0.25213416,...,0.25883939,0.25760151,0.256154  ]]","[-0.01174867, 0.03286304,-0.0008405 ]"
50000,100,[0.5],0.05,7,0,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.156470891039451e-123,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
